comparison,metric,mean,ci95_lo,ci95_hi,n
A2_minus_A0,risk,0.0,0.0,0.0,8
A2_minus_A0,semantic_risk,0.0,0.0,0.0,8
A2_minus_A0,flourish,0.09735533974296941,-0.01202792290160355,0.2619079235081771,8
A2_minus_A0,coop_score_density,0.06447891887487894,0.0176958259364033,0.12132581388755433,8
A2_minus_A0,motif_length_survival,0.0024338476678037544,-0.00428197636225202,0.009361884341485166,8
