arm,n,risk_mean,risk_ci95_lo,risk_ci95_hi,semantic_risk_mean,semantic_risk_ci95_lo,semantic_risk_ci95_hi,flourish_mean,flourish_ci95_lo,flourish_ci95_hi,coop_score_density_mean,coop_score_density_ci95_lo,coop_score_density_ci95_hi,motif_length_survival_mean,motif_length_survival_ci95_lo,motif_length_survival_ci95_hi
A0,8,0.0,0.0,0.0,0.0,0.0,0.0,0.03533819734710674,0.012735688344040976,0.07192262772641986,0.21073109989657626,0.1881571247030112,0.23169503303340405,0.10103957623127466,0.09411601817150261,0.10774261452831052
A1,8,0.0,0.0,0.0,0.0,0.0,0.0,0.14003067016316234,0.0381662857807896,0.29284521838338634,0.2601984956866322,0.22146032013402883,0.30407365943063025,0.09647960248411537,0.08207951214715302,0.10871129033205304
A2,8,0.0,0.0,0.0,0.0,0.0,0.0,0.13269353709007614,0.04200509701235422,0.2909762131673073,0.27521001877145523,0.2469289715937486,0.31231162937685764,0.10347342389907842,0.098780483462934,0.10832694677549565
